0101010101010101011010101010101010101001010101101010 0101011010101001010101010101010101101010101010101010 separated by 163285
0100011110100101010101010101011010101010101010101001010101101010010111100010 0100011110100101011010101001010101010101010101101010101010101010010111100010 separated by 163285
0100011110101001010101010101011010101010101010101001010101101001010111100010 0100011110101001011010101001010101010101010101101010101010101001010111100010 separated by 161780
0100011111000101010101010101011010101010101010101001010101101010001111100010 0100011111000101011010101001010101010101010101101010101010101010001111100010 separated by 163285
0100100001111101010101010101011010101010101010101001010101101011111000010010 0100100001111101011010101001010101010101010101101010101010101011111000010010 separated by 140127
0100100010101111010101010101011010101010101010101001010101101111010100010010 0100100010101111011010101001010101010101010101101010101010101111010100010010 separated by 35276
0100100011110101010101010101011010101010101010101001010101101010111100010010 0100100011110101011010101001010101010101010101101010101010101010111100010010 separated by 163313
0100100101010111010101010101011010101010101010101001010101101110101010010010 0100100101010111011010101001010101010101010101101010101010101110101010010010 separated by 31071
0100100101011101010101010101011010101010101010101001010101101011101010010010 0100100101011101011010101001010101010101010101101010101010101011101010010010 separated by 163285
0100100101110101010101010101011010101010101010101001010101101010111010010010 0100100101110101011010101001010101010101010101101010101010101010111010010010 separated by 163295
0100100110011101010101010101011010101010101010101001010101101011100110010010 0100100110011101011010101001010101010101010101101010101010101011100110010010 separated by 29680
0100100110101011010101010101011010101010101010101001010101101101010110010010 0100100110101011011010101001010101010101010101101010101010101101010110010010 separated by 31381
0100100110110101010101010101011010101010101010101001010101101010110110010010 0100100110110101011010101001010101010101010101101010101010101010110110010010 separated by 163330
0100100111010101010101010101011010101010101010101001010101101010101110010010 0100100111010101011010101001010101010101010101101010101010101010101110010010 separated by 163303
0100100111100101010101010101011010101010101010101001010101101010011110010010 0100100111100101011010101001010101010101010101101010101010101010011110010010 separated by 163285
010010011110011001011001100101101001100110100110011001100110011001100110011110010010 010010011110011001100110011001100110011001011001100101101001100110100110011110010010 separated by 164830
0100101000111101010101010101011010101010101010101001010101101011110001010010 0100101000111101011010101001010101010101010101101010101010101011110001010010 separated by 161780
0100101001010111010101010101011010101010101010101001010101101110101001010010 0100101001010111011010101001010101010101010101101010101010101110101001010010 separated by 31071
0100101001011101010101010101011010101010101010101001010101101011101001010010 0100101001011101011010101001010101010101010101101010101010101011101001010010 separated by 161775
0100101001101011010101010101011010101010101010101001010101101101011001010010 0100101001101011011010101001010101010101010101101010101010101101011001010010 separated by 31381
0100101001101101010101010101011010101010101010101001010101101011011001010010 0100101001101101011010101001010101010101010101101010101010101011011001010010 separated by 161575
0100101001110101010101010101011010101010101010101001010101101010111001010010 0100101001110101011010101001010101010101010101101010101010101010111001010010 separated by 163285
0100101010001111010101010101011010101010101010101001010101101111000101010010 0100101010001111011010101001010101010101010101101010101010101111000101010010 separated by 35236
0100101010010111010101010101011010101010101010101001010101101110100101010010 0100101010010111011010101001010101010101010101101010101010101110100101010010 separated by 31071
0100101010011011010101010101011010101010101010101001010101101101100101010010 0100101010011011011010101001010101010101010101101010101010101101100101010010 separated by 31059
0100101010011101010101010101011010101010101010101001010101101011100101010010 0100101010011101011010101001010101010101010101101010101010101011100101010010 separated by 163302
0100101010101101010101010101011010101010101010101001010101101011010101010010 0100101010101101011010101001010101010101010101101010101010101011010101010010 separated by 163303
0100101010110101010101010101011010101010101010101001010101101010110101010010 0100101010110101011010101001010101010101010101101010101010101010110101010010 separated by 163285
0100101010110110010101010101011010101010101010101001010101100110110101010010 0100101010110110011010101001010101010101010101101010101010100110110101010010 separated by 31059
0100101010111001010101010101011010101010101010101001010101101001110101010010 0100101010111001011010101001010101010101010101101010101010101001110101010010 separated by 160528
0100101011000111010101010101011010101010101010101001010101101110001101010010 0100101011000111011010101001010101010101010101101010101010101110001101010010 separated by 35276
